"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj","definition"
"GO:0046635",0.000273375429701053,0.99989244498972,32,73,"positive regulation of alpha-beta T cell activation","BP",0.00178895679546128,"Any process that activates or increases the frequency, rate or extent of alpha-beta T cell activation."
"GO:0031982",0.000275525433970411,0.999765018083393,1000,3677,"vesicle","CC",0.00179317372600415,"Any small, fluid-filled, spherical organelle enclosed by membrane."
"GO:0006954",0.000277308397929966,0.999796238665343,232,773,"inflammatory response","BP",0.0017949690322532,"The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."
"GO:0001816",0.000292871766333976,0.999786651709016,219,720,"cytokine production","BP",0.00187591165706286,"The appearance of a cytokine due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."
"GO:0042330",0.000292963533344829,0.999804552744236,136,429,"taxis","BP",0.00187591165706286,"The directed movement of a motile cell or organism in response to an external stimulus."
"GO:1903894",0.000295081850044113,0.999966389730926,10,14,"regulation of IRE1-mediated unfolded protein response","BP",0.00187937156899753,NA
"GO:0008134",0.000299588056852099,0.999789714349004,178,558,"transcription factor binding","MF",0.00189276403677986,"Binding to a transcription factor, a protein required to initiate or regulate transcription."
"GO:0045061",0.000300363058733327,0.999941864451551,14,23,"thymic T cell selection","BP",0.00189276403677986,"The process of T cell selection that occurs in the thymus."
"GO:0009891",0.000314687769533585,0.999738121462962,684,2436,"positive regulation of biosynthetic process","BP",0.00197259543955,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."
"GO:0032101",0.000318422514414485,0.999756966285745,297,1004,"regulation of response to external stimulus","BP",0.00198555609773639,"Any process that modulates the frequency, rate or extent of a response to an external stimulus."
"GO:0045087",0.000341084793119035,0.999744320561167,257,869,"innate immune response","BP",0.00211579160731652,"Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens."
"GO:0051770",0.000345556087238055,0.999952686540556,11,16,"positive regulation of nitric-oxide synthase biosynthetic process","BP",0.00213083303482385,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of a nitric oxide synthase enzyme."
"GO:0043370",0.000347087832708503,0.999874573304448,27,59,"regulation of CD4-positive, alpha-beta T cell differentiation","BP",0.00213083303482385,"Any process that modulates the frequency, rate, or extent of CD4-positive, alpha-beta T cell differentiation."
"GO:0051254",0.000349670844468813,0.999717438844769,483,1666,"positive regulation of RNA metabolic process","BP",0.00213568192698644,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA."
"GO:0031334",0.000351893167483382,0.999802469050878,70,192,"positive regulation of protein-containing complex assembly","BP",0.00213828960445259,"Any process that activates or increases the frequency, rate or extent of protein complex assembly."
"GO:0043122",0.000355499992621037,0.999780224763512,97,286,"regulation of canonical NF-kappaB signal transduction","BP",0.00214924107214038,"Any process that modulates the canonical NF-kappaB signaling cascade."
"GO:0010557",0.000363287280747775,0.999697991319873,659,2342,"positive regulation of macromolecule biosynthetic process","BP",0.00218522803722525,"Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
"GO:0141124",0.00036523937150005,0.999702834599652,515,1790,"intracellular signaling cassette","BP",0.00218593010782191,NA
"GO:0046634",0.000369548351962229,0.99982172038275,46,118,"regulation of alpha-beta T cell activation","BP",0.00220066043593508,"Any process that modulates the frequency, rate or extent of alpha-beta T cell activation."
"GO:0032490",0.000375747847441125,0.999964192310425,9,12,"detection of molecule of bacterial origin","BP",0.00222644620050935,"The series of events in which a stimulus from a molecule of bacterial origin is received and converted into a molecular signal."
"GO:0050671",0.00038293482200849,0.999808076430287,50,132,"positive regulation of lymphocyte proliferation","BP",0.00225406576355747,"Any process that activates or increases the rate or extent of lymphocyte proliferation."
"GO:0005149",0.000384194248532466,0.999984626129829,7,8,"interleukin-1 receptor binding","MF",0.00225406576355747,"Binding to an interleukin-1 receptor."
"GO:0042482",0.000391735170864245,0.999984266164386,7,8,"positive regulation of odontogenesis","BP",0.00228586051900905,"Any process that activates or increases the frequency, rate or extent of the formation and development of a tooth or teeth."
"GO:0006915",0.000393452062465874,0.999679896354546,505,1782,"apoptotic process","BP",0.00228586051900905,"A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."
"GO:0051250",0.00039554698825948,0.999792665523705,56,151,"negative regulation of lymphocyte activation","BP",0.00228687603406331,"Any process that stops, prevents, or reduces the frequency, rate or extent of lymphocyte activation."
"GO:0002366",0.000402311067439519,0.999751489377446,95,280,"leukocyte activation involved in immune response","BP",0.00231474628657231,"A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
"GO:1900103",0.000408821659716745,0.999960520589986,9,12,"positive regulation of endoplasmic reticulum unfolded protein response","BP",0.00232281577201663,NA
"GO:0042571",0.000410928294420336,0.999960285020816,9,12,"immunoglobulin complex, circulating","CC",0.00232281577201663,"An immunoglobulin complex that is secreted into extracellular space and found in mucosal areas or other tissues or circulating in the blood or lymph. In its canonical form, a circulating immunoglobulin complex is composed of two identical heavy chains and two identical light chains, held together by disulfide bonds. Some forms of are polymers of the basic structure and contain additional components such as J-chain and the secretory component."
"GO:0001817",0.000411059499487581,0.99969874927687,216,713,"regulation of cytokine production","BP",0.00232281577201663,"Any process that modulates the frequency, rate, or extent of production of a cytokine."
"GO:0051147",0.000411514800919823,0.999791198159767,52,133,"regulation of muscle cell differentiation","BP",0.00232281577201663,"Any process that modulates the frequency, rate or extent of muscle cell differentiation."
"GO:0051239",0.000419345884675329,0.999647305506021,748,2689,"regulation of multicellular organismal process","BP",0.00235585353135999,"Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."
"GO:0015671",0.000423345357221761,0.999973022507104,7,9,"oxygen transport","BP",0.00236064154448023,"The directed movement of oxygen (O2) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"GO:0097190",0.00042416229262701,0.999698602041353,179,580,"apoptotic signaling pathway","BP",0.00236064154448023,"The series of molecular signals which triggers the apoptotic death of a cell. The pathway starts with reception of a signal, and ends when the execution phase of apoptosis is triggered."
"GO:2000514",0.000428337087802226,0.999819375317102,34,81,"regulation of CD4-positive, alpha-beta T cell activation","BP",0.00237278823987186,NA
"GO:0043123",0.000433043986257186,0.999748094995114,76,216,"positive regulation of canonical NF-kappaB signal transduction","BP",0.00238775642422365,"Any process that activates or increases the frequency, rate or extent of a canonical NF-kappaB signaling cascade."
"GO:0002833",0.000438203574251133,0.999710407455632,124,380,"positive regulation of response to biotic stimulus","BP",0.00240507123010645,"Any process that activates or increases the frequency, rate, or extent of a response to biotic stimulus."
"GO:0045935",0.00044099222545948,0.999638919774606,534,1864,"positive regulation of nucleobase-containing compound metabolic process","BP",0.00240927403909284,"Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."
"GO:0032743",0.000448663203659298,0.999878779556983,18,34,"positive regulation of interleukin-2 production","BP",0.00243999029935262,"Any process that activates or increases the frequency, rate, or extent of interleukin-2 production."
"GO:0045785",0.000450945019202871,0.999689404037208,151,472,"positive regulation of cell adhesion","BP",0.00244125235395736,"Any process that activates or increases the frequency, rate or extent of cell adhesion."
"GO:0042981",0.000453627820396109,0.999639875928207,388,1345,"regulation of apoptotic process","BP",0.00244259547847506,"Any process that modulates the occurrence or rate of cell death by apoptotic process."
"GO:0005164",0.000455294875080993,0.99988748826398,16,30,"tumor necrosis factor receptor binding","MF",0.00244259547847506,"Binding to a tumor necrosis factor receptor."
"GO:0019899",0.000459540503331077,0.999621500808039,567,1986,"enzyme binding","MF",0.00244273457857876,"Binding to an enzyme, a protein with catalytic activity."
"GO:0060284",0.000460156141846854,0.999657279833244,238,775,"regulation of cell development","BP",0.00244273457857876,"Any process that modulates the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."
"GO:1902115",0.000461473786885156,0.999727741942935,80,223,"regulation of organelle assembly","BP",0.00244273457857876,NA
"GO:0044087",0.000489095614891911,0.999623714049544,298,989,"regulation of cellular component biogenesis","BP",0.00257749060768259,"Any process that modulates the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component."
"GO:0002695",0.0004960838235117,0.999725822747083,63,175,"negative regulation of leukocyte activation","BP",0.00259484199216339,"Any process that stops, prevents, or reduces the frequency, rate, or extent of leukocyte activation."
"GO:0045236",0.000496745570288205,0.999918760264245,11,18,"CXCR chemokine receptor binding","MF",0.00259484199216339,"Binding to a chemokine receptor in the CXCR family."
"GO:0070665",0.00050124152043226,0.99973541105083,55,150,"positive regulation of leukocyte proliferation","BP",0.00260271974534443,"Any process that activates or increases the frequency, rate or extent of leukocyte proliferation."
"GO:0007254",0.000502624300108496,0.999724628647177,62,167,"JNK cascade","BP",0.00260271974534443,"A MAPK cascade containing at least the JNK (MAPK8) MAP kinase. It starts with the activation of JUN3K (a MAPK3K), which activates JNKK a MAP2K), which in turn activates JNK. The cascade can also contain an additional tier: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinases in the downstream tier. The JNK cascade is activated by stress signals, as well as by G protein-coupled receptors, growth factors, and cytokines, and results in cellular responses such as cell proliferation, cell differentiation, apoptosis and inflammation."
"GO:0046638",0.000505112085128807,0.999820684856776,25,54,"positive regulation of alpha-beta T cell differentiation","BP",0.00260427919215761,"Any process that activates or increases the frequency, rate or extent of alpha-beta T cell differentiation."
"GO:0005515",0.000542262774995564,0.99953734875087,3373,13204,"protein binding","MF",0.00278377140094705,"Binding to a protein."
"GO:0043087",0.00055867786856673,0.999683489180394,68,184,"regulation of GTPase activity","BP",0.00285573107924024,"Any process that modulates the rate of GTP hydrolysis by a GTPase."
"GO:0110165",0.000562498432075144,0.999610149024489,4056,16111,"cellular anatomical entity","CC",0.00286297278889528,"A part of a cellular organism that is either an immaterial entity or a material entity with granularity above the level of a protein complex but below that of an anatomical system. Or, a substance produced by a cellular organism with granularity above the level of a protein complex."
"GO:0071396",0.00057001777560097,0.999594930539501,172,548,"cellular response to lipid","BP",0.00288889859889683,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus."
"GO:0097193",0.000612311836999167,0.999609334511244,101,306,"intrinsic apoptotic signaling pathway","BP",0.00309009914350003,"The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway starts with reception of an intracellular signal (e.g. DNA damage, endoplasmic reticulum stress, oxidative stress etc.), and ends when the execution phase of apoptosis is triggered. The intrinsic apoptotic signaling pathway is crucially regulated by permeabilization of the mitochondrial outer membrane (MOMP)."
"GO:0060326",0.000615650532948438,0.999613071115511,94,289,"cell chemotaxis","BP",0.00309383875418392,"The directed movement of a motile cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."
"GO:0060760",0.000635385483158098,0.999747900728557,29,66,"positive regulation of response to cytokine stimulus","BP",0.00317959710269452,"Any process that increases the rate, frequency, or extent of a response to cytokine stimulus."
"GO:0035325",0.000650516886203677,0.999922518000219,9,13,"Toll-like receptor binding","MF",0.00323481429397253,"Binding to a Toll-like protein, a pattern recognition receptor that binds pattern motifs from a variety of microbial sources to initiate an innate immune response."
"GO:0016604",0.000651851746896227,0.999507703505779,247,817,"nuclear body","CC",0.00323481429397253,"Extra-nucleolar nuclear domains usually visualized by confocal microscopy and fluorescent antibodies to specific proteins."
"GO:0032103",0.000666539551600626,0.999518629374678,183,599,"positive regulation of response to external stimulus","BP",0.00329397761807612,"Any process that activates, maintains or increases the rate of a response to an external stimulus."
"GO:0140888",0.000670719796538373,0.999695773877919,37,91,"interferon-mediated signaling pathway","BP",0.0032948440330757,NA
"GO:0045089",0.000672247775010408,0.99955581785502,116,355,"positive regulation of innate immune response","BP",0.0032948440330757,"Any process that activates or increases the frequency, rate or extent of the innate immune response, the organism's first line of defense against infection."
"GO:0031267",0.000699057421313748,0.999558271428904,97,278,"small GTPase binding","MF",0.00341220241305194,"Binding to a small monomeric GTPase."
"GO:0002369",0.000712322822667361,0.99979313450998,18,36,"T cell cytokine production","BP",0.00344868488535296,"Any process that contributes to cytokine production by a T cell."
"GO:0002724",0.000712322822667361,0.99979313450998,18,36,"regulation of T cell cytokine production","BP",0.00344868488535296,"Any process that modulates the frequency, rate, or extent of T cell cytokine production."
"GO:0051240",0.000717929795173671,0.999418772057781,435,1517,"positive regulation of multicellular organismal process","BP",0.00346175864798317,"Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."
"GO:0002263",0.000735010332946395,0.999534998526358,95,284,"cell activation involved in immune response","BP",0.00352982784894821,"A change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an immune response."
"GO:0030234",0.000739573815554446,0.999413599977124,355,1218,"enzyme regulator activity","MF",0.0035374795756038,"Binds to and modulates the activity of an enzyme."
"GO:0006950",0.000759006064757769,0.999345957649783,972,3599,"response to stress","BP",0.00361590489250601,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."
"GO:0072562",0.000763781982566249,0.999613984990384,46,123,"blood microparticle","CC",0.00362416072205738,"A phospholipid microvesicle that is derived from any of several cell types, such as platelets, blood cells, endothelial cells, or others, and contains membrane receptors as well as other proteins characteristic of the parental cell. Microparticles are heterogeneous in size, and are characterized as microvesicles free of nucleic acids."
"GO:0030695",0.000775355115552456,0.999456442182316,154,471,"GTPase regulator activity","MF",0.00364972361984392,"Binds to and modulates the activity of a GTPase."
"GO:0060589",0.000775355115552456,0.999456442182316,154,471,"nucleoside-triphosphatase regulator activity","MF",0.00364972361984392,"Binds to and modulates the activity of an NTPase."
"GO:0043368",0.000778362552007015,0.999728148673014,23,49,"positive T cell selection","BP",0.00364972361984392,"The process of sparing immature T cells which react with self-MHC protein complexes with low affinity levels from apoptotic death."
"GO:0001222",0.000782766171160651,0.999728458610276,23,48,"transcription corepressor binding","MF",0.00365473919693122,"Binding to a transcription corepressor, a protein involved in negative regulation of transcription via protein-protein interactions with transcription factors and other proteins that negatively regulate transcription. Transcription corepressors do not bind DNA directly, but rather mediate protein-protein interactions between repressing transcription factors and the basal transcription machinery."
"GO:0048585",0.000785569466342899,0.999361446708679,446,1557,"negative regulation of response to stimulus","BP",0.00365473919693122,"Any process that stops, prevents, or reduces the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."
"GO:0043085",0.000832011876962933,0.99939208930354,190,620,"positive regulation of catalytic activity","BP",0.0038557437566648,"Any process that activates or increases the activity of an enzyme."
"GO:0002683",0.000836656679791113,0.999412267798448,151,484,"negative regulation of immune system process","BP",0.00386224071950084,"Any process that stops, prevents, or reduces the frequency, rate, or extent of an immune system process."
"GO:0033081",0.000849508290771294,0.999803063036686,14,25,"regulation of T cell differentiation in thymus","BP",0.0039064261556317,"Any process that modulates the frequency, rate or extent of T cell differentiation in the thymus."
"GO:0051345",0.000874290638335947,0.99943526176389,101,304,"positive regulation of hydrolase activity","BP",0.0040049236548389,"Any process that activates or increases the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds."
"GO:0080135",0.000911484749007657,0.999353018601217,158,506,"regulation of cellular response to stress","BP",0.00415930396960965,"Any process that modulates the frequency, rate or extent of a cellular response to stress. Cellular response to stress is a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."
"GO:0048856",0.000919167858658835,0.999192583922215,1433,5313,"anatomical structure development","BP",0.0041647916609984,"The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."
"GO:0005802",0.000919681114057582,0.999423340045707,89,261,"trans-Golgi network","CC",0.0041647916609984,"The network of interconnected tubular and cisternal structures located within the Golgi apparatus on the side distal to the endoplasmic reticulum, from which secretory vesicles emerge. The trans-Golgi network is important in the later stages of protein secretion where it is thought to play a key role in the sorting and targeting of secreted proteins to the correct destination."
"GO:0090316",0.00094053269672919,0.999565186447335,37,90,"positive regulation of intracellular protein transport","BP",0.0042430850068351,"Any process that activates or increases the frequency, rate or extent of the directed movement of proteins within cells."
"GO:0071742",0.000990159937870185,1,5,5,"IgE immunoglobulin complex","CC",0.0044362391910503,"A protein complex composed of two identical immunoglobulin heavy chains of the IgE isotype and two identical immunoglobulin light chains, held together by disulfide bonds. An IgE immunoglobulin complex may be embedded in the plasma membrane or present in the extracellular space, in mucosal areas or other tissues, or circulating in the blood or lymph."
"GO:0098581",0.00099079733402131,0.999780988321069,13,23,"detection of external biotic stimulus","BP",0.0044362391910503,"The series of events in which an external biotic stimulus is detected and converted into a molecular signal. An external biotic stimulus is defined as one caused or produced by a living organism other than the one being stimulated."
"GO:0005102",0.00100173550119166,0.999196553655673,372,1309,"signaling receptor binding","MF",0.00446841566261897,"Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."
"GO:0012505",0.00101700393407569,0.99911186415632,1192,4439,"endomembrane system","CC",0.00451959584135875,"A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."
"GO:0030522",0.00102931370067527,0.999310464150846,116,353,"intracellular receptor signaling pathway","BP",0.00455729597585221,"The series of molecular signals initiated by a ligand binding to a receptor located within a cell."
"GO:0071916",0.0010365591790331,1,5,5,"dipeptide transmembrane transporter activity","MF",0.00457237771195714,"Enables the transfer of a dipeptide from one side of a membrane to the other. A dipeptide is a combination of two amino acids linked together by a peptide (-CO-NH-) bond."
"GO:0016234",0.00104231788574592,0.999562989796083,30,69,"inclusion body","CC",0.00458081402923761,"A discrete intracellular part formed of aggregated molecules such as proteins or other biopolymers."
"GO:0034481",0.0011501300198225,1,5,5,"chondroitin sulfotransferase activity","MF",0.00503604725591395,"Catalysis of the reaction: 3'-phosphoadenosine 5'-phosphosulfate + chondroitin = adenosine 3',5'-bisphosphate + chondroitin sulfate."
"GO:0005581",0.00117844271713319,0.999484324534632,32,75,"collagen trimer","CC",0.00514111822749314,"A protein complex consisting of three collagen chains assembled into a left-handed triple helix. These trimers typically assemble into higher order structures."
"GO:0042098",0.00121833328623438,0.999278784869336,68,198,"T cell proliferation","BP",0.00529574797045673,"The expansion of a T cell population by cell division. Follows T cell activation."
"GO:0045595",0.00126366092555053,0.998973152496856,409,1417,"regulation of cell differentiation","BP",0.00547280059029339,"Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."
"GO:0140205",0.0012800746612887,1,5,5,"oligopeptide import across plasma membrane","BP",0.00550385892272507,NA
"GO:0140206",0.0012800746612887,1,5,5,"dipeptide import across plasma membrane","BP",0.00550385892272507,NA
"GO:0031399",0.00129625291463329,0.998992847500405,271,919,"regulation of protein modification process","BP",0.00551433380396542,"Any process that modulates the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."
"GO:0050864",0.00129963277150028,0.999323296352957,46,123,"regulation of B cell activation","BP",0.00551433380396542,"Any process that modulates the frequency, rate or extent of B cell activation."
"GO:0045862",0.00130221208188118,0.999150566870267,98,300,"positive regulation of proteolysis","BP",0.00551433380396542,"Any process that activates or increases the frequency, rate or extent of the hydrolysis of a peptide bond or bonds within a protein."
"GO:0140895",0.00130680162978574,0.999467787410675,27,63,"cell surface toll-like receptor signaling pathway","BP",0.00551433380396542,NA
"GO:0032609",0.00131029090388095,0.9993393144073,42,112,"type II interferon production","BP",0.00551433380396542,"The appearance of interferon-gamma due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels. Interferon-gamma is also known as type II interferon."
"GO:0032649",0.00131029090388095,0.9993393144073,42,112,"regulation of type II interferon production","BP",0.00551433380396542,"Any process that modulates the frequency, rate, or extent of interferon-gamma production. Interferon-gamma is also known as type II interferon."
"GO:1903897",0.00132231156041574,0.999857094413235,8,11,"regulation of PERK-mediated unfolded protein response","BP",0.005545327705828,NA
"GO:1903896",0.00134250336417115,0.999939031038785,6,7,"positive regulation of IRE1-mediated unfolded protein response","BP",0.00560476114838333,NA
"GO:0045597",0.00134589562421296,0.998969890163032,241,799,"positive regulation of cell differentiation","BP",0.00560476114838333,"Any process that activates or increases the frequency, rate or extent of cell differentiation."
"GO:0071745",0.00140638214189349,0.999887205246024,7,9,"IgA immunoglobulin complex","CC",0.00582306900036037,"A protein complex composed of two identical immunoglobulin heavy chains of the IgA isotype and two identical immunoglobulin light chains, held together by disulfide bonds, and sometimes complexed with J chain or J chain and secretory component. An IgA immunoglobulin complex may be embedded in the plasma membrane or present in the extracellular space, in mucosal areas or other tissues, or circulating in the blood or lymph."
"GO:0001865",0.00140996968074136,0.999845857982379,8,11,"NK T cell differentiation","BP",0.00582306900036037,"The process in which a precursor cell type acquires the specialized features of a NK T cell."
"GO:0031625",0.00141298651646024,0.999085124182943,94,284,"ubiquitin protein ligase binding","MF",0.00582306900036037,"Binding to a ubiquitin protein ligase enzyme, any of the E3 proteins."
"GO:0005344",0.00142082748591691,0.999899555208754,6,8,"oxygen carrier activity","MF",0.00583519150250705,"Binding to oxygen and delivering it to an acceptor molecule or a specific location."
"GO:0033043",0.00144809265068592,0.998844723168505,334,1142,"regulation of organelle organization","BP",0.0059206490684911,"Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."
"GO:0050852",0.00145157810915147,0.999199832116044,53,146,"T cell receptor signaling pathway","BP",0.0059206490684911,"The series of molecular signals initiated by the cross-linking of an antigen receptor on a T cell."
"GO:0009968",0.00145743680771114,0.998828166247129,358,1236,"negative regulation of signal transduction","BP",0.00592425678492821,"Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction."
"GO:1990868",0.00147428102947599,0.999301705721379,35,93,"response to chemokine","BP",0.00593451293482494,NA
"GO:1990869",0.00147428102947599,0.999301705721379,35,93,"cellular response to chemokine","BP",0.00593451293482494,NA
"GO:0043367",0.00147490833644684,0.999283816490464,38,97,"CD4-positive, alpha-beta T cell differentiation","BP",0.00593451293482494,"The process in which a relatively unspecialized T cell acquires specialized features of a mature CD4-positive, alpha-beta T cell."
"GO:0045620",0.00148684588916839,0.999440506179331,23,52,"negative regulation of lymphocyte differentiation","BP",0.00596240220201871,"Any process that stops, prevents, or reduces the frequency, rate or extent of lymphocyte differentiation."
"GO:0043412",0.00153880706383335,0.998682905925249,748,2711,"macromolecule modification","BP",0.00615006447324001,"The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."
"GO:0008284",0.00156117147881324,0.998795111141633,248,842,"positive regulation of cell population proliferation","BP",0.00619961039554573,"Any process that activates or increases the rate or extent of cell proliferation."
"GO:0035710",0.00156513492187239,0.999175266220157,46,124,"CD4-positive, alpha-beta T cell activation","BP",0.00619961039554573,"The change in morphology and behavior of a CD4-positive, alpha-beta T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."
"GO:0045622",0.00156682009156949,0.999441710158272,21,46,"regulation of T-helper cell differentiation","BP",0.00619961039554573,"Any process that modulates the frequency, rate or extent of T-helper cell differentiation."
"GO:0009100",0.00157292764262263,0.998929417321012,116,359,"glycoprotein metabolic process","BP",0.00620316828597203,"The chemical reactions and pathways involving glycoproteins, a protein that contains covalently bound glycose (i.e. monosaccharide) residues; the glycose occurs most commonly as oligosaccharide or fairly small polysaccharide but occasionally as monosaccharide."
"GO:0060090",0.00161295483964458,0.998703836134658,350,1202,"molecular adaptor activity","MF",0.006340030409296,"The binding activity of a molecule that brings together two or more molecules through a selective, non-covalent, often stoichiometric interaction, permitting those molecules to function in a coordinated way."
"GO:0005518",0.00162321746607375,0.999306545181877,29,67,"collagen binding","MF",0.00635938158583497,"Binding to collagen, a group of fibrous proteins of very high tensile strength that form the main component of connective tissue in animals. Collagen is highly enriched in glycine (some regions are 33% glycine) and proline, occurring predominantly as 3-hydroxyproline (about 20%)."
"GO:0023057",0.00163665974823832,0.998671529688971,384,1336,"negative regulation of signaling","BP",0.00638779052555134,"Any process that stops, prevents, or reduces the frequency, rate or extent of a signaling process."
"GO:0006914",0.00164655893479787,0.99878725788387,178,580,"autophagy","BP",0.00638779052555134,"The cellular catabolic process in which cells digest cellular materials, such as organelles and other macromolecular constituents, or non-self materials such as intracellular pathogens. Autophagy serves to provide essential nutrients under conditions of cellular stress; or can remodel intracellular structures during cell differentiation."
"GO:0061919",0.00164655893479787,0.99878725788387,178,580,"process utilizing autophagic mechanism","BP",0.00638779052555134,"A cellular process involving delivery of a portion of the cytoplasm to lysosomes or to the plant or fungal vacuole that does not involve direct transport through the endocytic or vacuolar protein sorting (Vps) pathways. This process typically leads to degradation of the cargo; however, it can also be used to deliver resident proteins, such as in the cytoplasm-to-vacuole targeting (Cvt) pathway."
"GO:0032813",0.00166023649886596,0.999401179332873,21,47,"tumor necrosis factor receptor superfamily binding","MF",0.0064199404874979,"Binding to a member of the tumor necrosis factor receptor superfamily."
"GO:0034340",0.00168954810436481,0.999243859413579,31,76,"response to type I interferon","BP",0.00651214172264884,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a type I interferon stimulus. Type I interferons include the interferon-alpha, beta, delta, episilon, zeta, kappa, tau, and omega gene families."
"GO:0097107",0.00169906237134608,0.999571879745207,14,25,"postsynaptic density assembly","BP",0.00652768801378444,"The aggregation, arrangement and bonding together of a set of components to form a postsynaptic density, a region that lies adjacent to the cytoplasmic face of the postsynaptic membrane at excitatory synapse."
"GO:0002285",0.00174584989607939,0.998945407573472,69,201,"lymphocyte activation involved in immune response","BP",0.00668587532550019,"A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
"GO:0099022",0.00178080866298416,0.999474044835353,16,32,"vesicle tethering","BP",0.00679789460773761,"The initial, indirect interaction between a vesicle membrane and a membrane to which it is targeted for fusion. This interaction is mediated by tethering factors (or complexes), which interact with both membranes. Interaction can occur via direct binding to membrane phospholipids or membrane proteins, or via binding to vesicle coat proteins. This process is distinct from and prior to interaction between factors involved in fusion."
